Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:stage.process:model.layers.11.self_attn.o_proj,PushPop,5554043571,5576831205,1,5554043571.0,5554043571.0,5554043571,5554043571,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.9.self_attn.q_proj,PushPop,5551323190,5573864794,1,5551323190.0,5551323190.0,5551323190,5551323190,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.8.self_attn.q_proj,PushPop,5547978872,5577350745,1,5547978872.0,5547978872.0,5547978872,5547978872,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.11.self_attn.q_proj,PushPop,5542907167,5569624414,1,5542907167.0,5542907167.0,5542907167,5542907167,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.2.self_attn.q_proj,PushPop,5531266218,5556672838,1,5531266218.0,5531266218.0,5531266218,5531266218,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.7.self_attn.q_proj,PushPop,5527473455,5551598829,1,5527473455.0,5527473455.0,5527473455,5527473455,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.15.self_attn.q_proj,PushPop,5527354674,5551295061,1,5527354674.0,5527354674.0,5527354674,5527354674,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.13.self_attn.o_proj,PushPop,5527160108,5593114910,1,5527160108.0,5527160108.0,5527160108,5527160108,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.12.self_attn.o_proj,PushPop,5522639094,5544981442,1,5522639094.0,5522639094.0,5522639094,5522639094,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.0.self_attn.o_proj,PushPop,5521009519,5543393305,1,5521009519.0,5521009519.0,5521009519,5521009519,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.3.self_attn.q_proj,PushPop,5520553641,5544474707,1,5520553641.0,5520553641.0,5520553641,5520553641,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.13.self_attn.q_proj,PushPop,5514398646,5537909578,1,5514398646.0,5514398646.0,5514398646,5514398646,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.3.self_attn.o_proj,PushPop,5510000866,5534385633,1,5510000866.0,5510000866.0,5510000866,5510000866,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.o_proj,PushPop,5505513485,5529608331,1,5505513485.0,5505513485.0,5505513485,5505513485,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.4.self_attn.o_proj,PushPop,5505022183,5529991912,1,5505022183.0,5505022183.0,5505022183,5505022183,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.7.self_attn.o_proj,PushPop,5504793662,5527698102,1,5504793662.0,5504793662.0,5504793662,5504793662,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.8.self_attn.o_proj,PushPop,5504467279,5526663029,1,5504467279.0,5504467279.0,5504467279,5504467279,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.14.self_attn.q_proj,PushPop,5502706831,5529627007,1,5502706831.0,5502706831.0,5502706831,5502706831,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.5.self_attn.q_proj,PushPop,5499902041,5540974176,1,5499902041.0,5499902041.0,5499902041,5499902041,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.10.self_attn.o_proj,PushPop,5498318973,5520817482,1,5498318973.0,5498318973.0,5498318973,5498318973,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.10.self_attn.q_proj,PushPop,5496185280,5520865183,1,5496185280.0,5496185280.0,5496185280,5496185280,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.5.self_attn.o_proj,PushPop,5495909705,5534850399,1,5495909705.0,5495909705.0,5495909705,5495909705,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.9.self_attn.o_proj,PushPop,5490547284,5542261219,1,5490547284.0,5490547284.0,5490547284,5490547284,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.6.self_attn.q_proj,PushPop,5484601255,5507799809,1,5484601255.0,5484601255.0,5484601255,5484601255,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.q_proj,PushPop,5478677549,5504405291,1,5478677549.0,5478677549.0,5478677549,5478677549,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.14.self_attn.o_proj,PushPop,5469205969,5493178331,1,5469205969.0,5469205969.0,5469205969,5469205969,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.6.self_attn.o_proj,PushPop,5468464072,5490940437,1,5468464072.0,5468464072.0,5468464072,5468464072,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.13.self_attn.v_proj,PushPop,3254350087,3269285803,1,3254350087.0,3254350087.0,3254350087,3254350087,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.k_proj,PushPop,3158695060,3177268722,1,3158695060.0,3158695060.0,3158695060,3158695060,0.0,59664,59664.0,0.0,1148.0
:stage.process:model.layers.14.self_attn.v_proj,PushPop,3098684033,3146616010,1,3098684033.0,3098684033.0,3098684033,3098684033,0.0,58074,58074.0,0.0,1148.0
