Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:stage.process:model.layers.1.mlp.up_proj,PushPop,27907320158,27960496545,1,27907320158.0,27907320158.0,27907320158,27907320158,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.0.mlp.up_proj,PushPop,27852432086,27899822398,1,27852432086.0,27852432086.0,27852432086,27852432086,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.0.self_attn.q_proj,PushPop,8708532720,8750161099,1,8708532720.0,8708532720.0,8708532720,8708532720,0.0,80721,80721.0,0.0,1532.0
:stage.process:model.layers.13.self_attn.o_proj,PushPop,8513480166,8592991245,1,8513480166.0,8513480166.0,8513480166,8513480166,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.2.self_attn.o_proj,PushPop,8512414492,8534831359,1,8512414492.0,8512414492.0,8512414492,8512414492,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.13.self_attn.q_proj,PushPop,8359468344,8382152602,1,8359468344.0,8359468344.0,8359468344,8359468344,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.6.self_attn.q_proj,PushPop,8324648346,8358838115,1,8324648346.0,8324648346.0,8324648346,8324648346,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.4.self_attn.o_proj,PushPop,8320869283,8357166751,1,8320869283.0,8320869283.0,8320869283,8320869283,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.8.self_attn.q_proj,PushPop,8320133337,8345227038,1,8320133337.0,8320133337.0,8320133337,8320133337,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.11.self_attn.o_proj,PushPop,8312929528,8342918469,1,8312929528.0,8312929528.0,8312929528,8312929528,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.14.self_attn.q_proj,PushPop,8312435465,8336151365,1,8312435465.0,8312435465.0,8312435465,8312435465,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.11.self_attn.q_proj,PushPop,8305632853,8351673353,1,8305632853.0,8305632853.0,8305632853,8305632853,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.3.self_attn.q_proj,PushPop,8305209910,8328686410,1,8305209910.0,8305209910.0,8305209910,8305209910,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.12.self_attn.q_proj,PushPop,8305119860,8331905053,1,8305119860.0,8305119860.0,8305119860,8305119860,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.7.self_attn.o_proj,PushPop,8302533316,8327560545,1,8302533316.0,8302533316.0,8302533316,8302533316,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.10.self_attn.o_proj,PushPop,8299930184,8324899394,1,8299930184.0,8299930184.0,8299930184,8299930184,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.9.self_attn.q_proj,PushPop,8299345862,8328432786,1,8299345862.0,8299345862.0,8299345862,8299345862,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.15.self_attn.o_proj,PushPop,8297377223,8319207668,1,8297377223.0,8297377223.0,8297377223,8297377223,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.7.self_attn.q_proj,PushPop,8297170849,8348921328,1,8297170849.0,8297170849.0,8297170849,8297170849,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.2.self_attn.q_proj,PushPop,8291627874,8318973391,1,8291627874.0,8291627874.0,8291627874,8291627874,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.14.self_attn.o_proj,PushPop,8290219939,8313972682,1,8290219939.0,8290219939.0,8290219939,8290219939,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.9.self_attn.o_proj,PushPop,8285478464,8354524896,1,8285478464.0,8285478464.0,8285478464,8285478464,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.6.self_attn.o_proj,PushPop,8285331801,8309242969,1,8285331801.0,8285331801.0,8285331801,8285331801,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.10.self_attn.q_proj,PushPop,8283328855,8308804274,1,8283328855.0,8283328855.0,8283328855,8283328855,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.q_proj,PushPop,8280721247,8302302664,1,8280721247.0,8280721247.0,8280721247,8280721247,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.5.self_attn.q_proj,PushPop,8278064085,8302878041,1,8278064085.0,8278064085.0,8278064085,8278064085,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.12.self_attn.o_proj,PushPop,8277160177,8300166564,1,8277160177.0,8277160177.0,8277160177,8277160177,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.4.self_attn.q_proj,PushPop,8273733053,8298616521,1,8273733053.0,8273733053.0,8273733053,8273733053,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.5.self_attn.o_proj,PushPop,8260282668,8282154742,1,8260282668.0,8260282668.0,8260282668,8260282668,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.15.self_attn.q_proj,PushPop,8239079755,8261447052,1,8239079755.0,8239079755.0,8239079755,8239079755,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.3.self_attn.o_proj,PushPop,8226326084,8250100010,1,8226326084.0,8226326084.0,8226326084,8226326084,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.0.self_attn.o_proj,PushPop,8218141041,8240942700,1,8218141041.0,8218141041.0,8218141041,8218141041,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.8.self_attn.o_proj,PushPop,8211245023,8234011142,1,8211245023.0,8211245023.0,8211245023,8211245023,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.o_proj,PushPop,8198995373,8220848980,1,8198995373.0,8198995373.0,8198995373,8198995373,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.12.self_attn.k_proj,PushPop,3444384358,3466152030,1,3444384358.0,3444384358.0,3444384358,3444384358,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.7.self_attn.v_proj,PushPop,3427100294,3443223378,1,3427100294.0,3427100294.0,3427100294,3427100294,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.10.self_attn.v_proj,PushPop,3416395116,3430619441,1,3416395116.0,3416395116.0,3416395116,3416395116,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.13.self_attn.v_proj,PushPop,3413822569,3498337591,1,3413822569.0,3413822569.0,3413822569,3413822569,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.14.self_attn.v_proj,PushPop,3408984549,3423422146,1,3408984549.0,3408984549.0,3408984549,3408984549,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.10.self_attn.k_proj,PushPop,3406080746,3422607744,1,3406080746.0,3406080746.0,3406080746,3406080746,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.12.self_attn.v_proj,PushPop,3405289723,3421179172,1,3405289723.0,3405289723.0,3405289723,3405289723,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.13.self_attn.k_proj,PushPop,3402031277,3416103810,1,3402031277.0,3402031277.0,3402031277,3402031277,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.7.self_attn.k_proj,PushPop,3399195102,3414908212,1,3399195102.0,3399195102.0,3399195102,3399195102,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.15.self_attn.v_proj,PushPop,3397967969,3412779266,1,3397967969.0,3397967969.0,3397967969,3397967969,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.6.self_attn.k_proj,PushPop,3396910681,3412028234,1,3396910681.0,3396910681.0,3396910681,3396910681,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.k_proj,PushPop,3390765270,3406575033,1,3390765270.0,3390765270.0,3390765270,3390765270,0.0,61200,61200.0,0.0,1148.0
:stage.process:model.layers.2.self_attn.v_proj,PushPop,3390163176,3404127700,1,3390163176.0,3390163176.0,3390163176,3390163176,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.9.self_attn.v_proj,PushPop,3389016293,3463473746,1,3389016293.0,3389016293.0,3389016293,3389016293,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.5.self_attn.k_proj,PushPop,3388348008,3402866075,1,3388348008.0,3388348008.0,3388348008,3388348008,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.11.self_attn.v_proj,PushPop,3385644803,3402279869,1,3385644803.0,3385644803.0,3385644803,3385644803,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.9.self_attn.k_proj,PushPop,3383504564,3401564335,1,3383504564.0,3383504564.0,3383504564,3383504564,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.6.self_attn.v_proj,PushPop,3382517536,3398782164,1,3382517536.0,3382517536.0,3382517536,3382517536,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.8.self_attn.k_proj,PushPop,3382480090,3441470198,1,3382480090.0,3382480090.0,3382480090,3382480090,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.5.self_attn.v_proj,PushPop,3378598375,3394370868,1,3378598375.0,3378598375.0,3378598375,3378598375,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.v_proj,PushPop,3376521743,3394803091,1,3376521743.0,3376521743.0,3376521743,3376521743,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.11.self_attn.k_proj,PushPop,3372206960,3387790108,1,3372206960.0,3372206960.0,3372206960,3372206960,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.14.self_attn.k_proj,PushPop,3360018549,3374468283,1,3360018549.0,3360018549.0,3360018549,3360018549,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.v_proj,PushPop,3358036945,3372552803,1,3358036945.0,3358036945.0,3358036945,3358036945,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.4.self_attn.k_proj,PushPop,3356842348,3372308177,1,3356842348.0,3356842348.0,3356842348,3356842348,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.2.self_attn.k_proj,PushPop,3354012484,3369749110,1,3354012484.0,3354012484.0,3354012484,3354012484,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.4.self_attn.v_proj,PushPop,3353522486,3368870666,1,3353522486.0,3353522486.0,3353522486,3353522486,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.15.self_attn.k_proj,PushPop,3351648690,3365769627,1,3351648690.0,3351648690.0,3351648690,3351648690,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.3.self_attn.v_proj,PushPop,3351552334,3366932873,1,3351552334.0,3351552334.0,3351552334,3351552334,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.3.self_attn.k_proj,PushPop,3346925569,3362413141,1,3346925569.0,3346925569.0,3346925569,3346925569,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.8.self_attn.v_proj,PushPop,3338825257,3353610898,1,3338825257.0,3338825257.0,3338825257,3338825257,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.k_proj,PushPop,3333915130,3347442404,1,3333915130.0,3333915130.0,3333915130,3333915130,0.0,59610,59610.0,0.0,1148.0
CCCL:cub::DeviceSelect::Flagged,PushPop,318353762,600135331,28704,11090.9,9825.0,4736,1648168,21638.3,57408,2.0,0.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,63694259,458816100,28704,2219.0,1984.0,1600,88640,786.2,28712,1.0,0.0,0.0
CCCL:cub::DeviceRadixSort,PushPop,8177351,8703271,16,511084.4,41056.0,5664,7453510,1851876.5,72,4.5,0.0,0.0
