target,source_line,opcode,executed_warp_instructions,runtime_base_address,mapped_instruction_addresses,unmapped_instruction_addresses
p32-main,849,IMAD,96,0x7a68aa02bc00,1728,72
p32-main,876,IADD3,96,0x7a68aa02bc00,1728,72
p32-main,830,SHF,96,0x7a68aa02bc00,1728,72
p32-main,840,IMAD,96,0x7a68aa02bc00,1728,72
p32-main,840,LOP3,96,0x7a68aa02bc00,1728,72
p32-main,840,LEA,96,0x7a68aa02bc00,1728,72
p32-main,840,SHF,96,0x7a68aa02bc00,1728,72
p32-main,1158,IMAD,96,0x7a68aa02bc00,1728,72
p32-main,846,IMAD,64,0x7a68aa02bc00,1728,72
p32-main,844,IABS,64,0x7a68aa02bc00,1728,72
p32-main,1201,S2UR,64,0x7a68aa02bc00,1728,72
p32-main,842,SHF,64,0x7a68aa02bc00,1728,72
p32-main,844,LOP3,64,0x7a68aa02bc00,1728,72
p32-main,845,IADD3,64,0x7a68aa02bc00,1728,72
p32-main,50,UISETP,64,0x7a68aa02bc00,1728,72
p32-main,50,USEL,64,0x7a68aa02bc00,1728,72
p32-main,850,LDG,64,0x7a68aa02bc00,1728,72
p32-main,850,STS,64,0x7a68aa02bc00,1728,72
p32-main,849,BSYNC,64,0x7a68aa02bc00,1728,72
p32-main,1202,USHF,64,0x7a68aa02bc00,1728,72
p32-main,1003,IMAD,64,0x7a68aa02bc00,1728,72
p32-main,840,USHF,64,0x7a68aa02bc00,1728,72
p32-main,1149,ULDC,64,0x7a68aa02bc00,1728,72
p32-main,1153,IMAD,64,0x7a68aa02bc00,1728,72
p32-main,1146,ULDC,64,0x7a68aa02bc00,1728,72
p32-main,1149,ULEA,64,0x7a68aa02bc00,1728,72
p32-main,1146,USEL,64,0x7a68aa02bc00,1728,72
p32-main,877,IMAD,48,0x7a68aa02bc00,1728,72
p32-main,877,SHF,48,0x7a68aa02bc00,1728,72
p32-main,877,LEA,48,0x7a68aa02bc00,1728,72
p32-main,878,IMAD,48,0x7a68aa02bc00,1728,72
p32-main,882,IMAD,48,0x7a68aa02bc00,1728,72
p32-main,879,IMAD,48,0x7a68aa02bc00,1728,72
p32-main,879,LEA,48,0x7a68aa02bc00,1728,72
p32-main,881,IADD3,48,0x7a68aa02bc00,1728,72
p32-main,880,IMAD,48,0x7a68aa02bc00,1728,72
p32-main,895,SHF,48,0x7a68aa02bc00,1728,72
p32-main,151,IMAD,48,0x7a68aa02bc00,1728,72
p32-main,1176,IMAD,32,0x7a68aa02bc00,1728,72
p32-main,846,ULDC,32,0x7a68aa02bc00,1728,72
p32-main,846,LDG,32,0x7a68aa02bc00,1728,72
p32-main,842,IMAD,32,0x7a68aa02bc00,1728,72
p32-main,844,I2F,32,0x7a68aa02bc00,1728,72
p32-main,845,BSSY,32,0x7a68aa02bc00,1728,72
p32-main,1200,S2UR,32,0x7a68aa02bc00,1728,72
p32-main,842,LEA,32,0x7a68aa02bc00,1728,72
p32-main,844,MUFU,32,0x7a68aa02bc00,1728,72
p32-main,50,UMOV,32,0x7a68aa02bc00,1728,72
p32-main,839,USHF,32,0x7a68aa02bc00,1728,72
p32-main,844,F2I,32,0x7a68aa02bc00,1728,72
p32-main,845,IABS,32,0x7a68aa02bc00,1728,72
p32-main,845,LOP3,32,0x7a68aa02bc00,1728,72
p32-main,844,SEL,32,0x7a68aa02bc00,1728,72
p32-main,845,SEL,32,0x7a68aa02bc00,1728,72
p32-main,846,R2UR,32,0x7a68aa02bc00,1728,72
p32-main,44,UISETP,32,0x7a68aa02bc00,1728,72
p32-main,44,USEL,32,0x7a68aa02bc00,1728,72
p32-main,849,IMNMX,32,0x7a68aa02bc00,1728,72
p32-main,849,BSSY,32,0x7a68aa02bc00,1728,72
p32-main,849,LEA,32,0x7a68aa02bc00,1728,72
p32-main,849,LOP3,32,0x7a68aa02bc00,1728,72
p32-main,852,BAR,32,0x7a68aa02bc00,1728,72
p32-main,1202,ULDC,32,0x7a68aa02bc00,1728,72
p32-main,1202,BSSY,32,0x7a68aa02bc00,1728,72
p32-main,1202,ULEA,32,0x7a68aa02bc00,1728,72
p32-main,893,IMNMX,32,0x7a68aa02bc00,1728,72
p32-main,893,BSSY,32,0x7a68aa02bc00,1728,72
p32-main,893,IADD3,32,0x7a68aa02bc00,1728,72
p32-main,893,LEA,32,0x7a68aa02bc00,1728,72
p32-main,893,LOP3,32,0x7a68aa02bc00,1728,72
p32-main,893,SHF,32,0x7a68aa02bc00,1728,72
p32-main,1003,ISETP,32,0x7a68aa02bc00,1728,72
p32-main,840,ULDC,32,0x7a68aa02bc00,1728,72
p32-main,1005,UMOV,32,0x7a68aa02bc00,1728,72
p32-main,840,IADD3,32,0x7a68aa02bc00,1728,72
p32-main,126,BRA,32,0x7a68aa02bc00,1728,72
p32-main,831,LOP3,32,0x7a68aa02bc00,1728,72
p32-main,831,LEA,32,0x7a68aa02bc00,1728,72
p32-main,1152,ISETP,32,0x7a68aa02bc00,1728,72
p32-main,1152,EXIT,32,0x7a68aa02bc00,1728,72
p32-main,1146,UISETP,32,0x7a68aa02bc00,1728,72
p32-main,1153,LOP3,32,0x7a68aa02bc00,1728,72
p32-main,1149,UIMAD,32,0x7a68aa02bc00,1728,72
p32-main,286,STG,32,0x7a68aa02bc00,1728,72
p32-main,287,STG,32,0x7a68aa02bc00,1728,72
p32-main,1207,EXIT,32,0x7a68aa02bc00,1728,72
p32-main,860,SHF,16,0x7a68aa02bc00,1728,72
p32-main,859,IADD3,16,0x7a68aa02bc00,1728,72
p32-main,979,SHF,16,0x7a68aa02bc00,1728,72
p32-main,863,IMNMX,8,0x7a68aa02bc00,1728,72
p32-main,863,IADD3,8,0x7a68aa02bc00,1728,72
p32-main,863,LEA,8,0x7a68aa02bc00,1728,72
p32-main,863,LOP3,8,0x7a68aa02bc00,1728,72
p32-main,863,SHF,8,0x7a68aa02bc00,1728,72
p32-main,860,LEA,8,0x7a68aa02bc00,1728,72
p32-main,861,LOP3,8,0x7a68aa02bc00,1728,72
p32-main,861,IMAD,8,0x7a68aa02bc00,1728,72
p32-main,203,IMAD,8,0x7a68aa02bc00,1728,72
p32-main,979,LEA,8,0x7a68aa02bc00,1728,72
p32-main,980,LOP3,8,0x7a68aa02bc00,1728,72
p32-main,988,LEA,8,0x7a68aa02bc00,1728,72
p32-main,982,IMAD,8,0x7a68aa02bc00,1728,72
p32-main,980,IMAD,8,0x7a68aa02bc00,1728,72
p32-main,988,IMAD,8,0x7a68aa02bc00,1728,72
p32-main,981,IADD3,8,0x7a68aa02bc00,1728,72
p32-main,991,SHF,8,0x7a68aa02bc00,1728,72
p32-main,868,LEA,0,0x7a68aa02bc00,1728,72
p32-main,859,IMAD,0,0x7a68aa02bc00,1728,72
p32-main,880,BSSY,0,0x7a68aa02bc00,1728,72
p32-main,882,ISETP,0,0x7a68aa02bc00,1728,72
p32-main,880,ISETP,0,0x7a68aa02bc00,1728,72
p32-main,894,ISETP,0,0x7a68aa02bc00,1728,72
p32-main,897,ISETP,0,0x7a68aa02bc00,1728,72
p32-main,900,LEA,0,0x7a68aa02bc00,1728,72
p32-main,829,ISETP,0,0x7a68aa02bc00,1728,72
p32-main,868,IADD3,0,0x7a68aa02bc00,1728,72
p32-main,201,IADD3,0,0x7a68aa02bc00,1728,72
p32-main,863,USHF,0,0x7a68aa02bc00,1728,72
p32-main,863,ULOP3,0,0x7a68aa02bc00,1728,72
p32-main,863,UIADD3,0,0x7a68aa02bc00,1728,72
p32-main,860,IADD3,0,0x7a68aa02bc00,1728,72
p32-main,900,IADD3,0,0x7a68aa02bc00,1728,72
p32-main,296,IADD3,0,0x7a68aa02bc00,1728,72
p32-main,879,ISETP,0,0x7a68aa02bc00,1728,72
p32-main,895,ISETP,0,0x7a68aa02bc00,1728,72
p32-main,898,ISETP,0,0x7a68aa02bc00,1728,72
p32-main,1207,BRA,0,0x7a68aa02bc00,1728,72
p32-main,1207,NOP,0,0x7a68aa02bc00,1728,72
