target,kernel,block,grid,metric,value,unit
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",smsp__warps_active.avg.per_cycle_active,1.000000,warp
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",smsp__issue_active.avg.per_cycle_active,0.22,
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",smsp__average_warp_latency_per_inst_issued.ratio,4.480254,cycle
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",derived__local_spilling_requests,0,
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",derived__shared_spilling_requests,0,
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",gpu__time_duration.sum,150.368000,us
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,95.141243,%
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,22.258909,%
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",dram__bytes.sum.per_second,,
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",lts__throughput.avg.pct_of_peak_sustained_elapsed,19.234153,%
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",sm__throughput.avg.pct_of_peak_sustained_elapsed,39.151321,%
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",launch__registers_per_thread,31,register/thread
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",launch__shared_mem_per_block_static,0,byte/block
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",launch__shared_mem_per_block_dynamic,0,byte/block
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",launch__waves_per_multiprocessor,8.26,
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",sm__warps_active.avg.pct_of_peak_sustained_active,93.876852,%
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",smsp__warps_eligible.avg.per_cycle_active,1.473144,warp
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",smsp__warps_active.avg.per_cycle_active,15.005689,warp
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",smsp__issue_active.avg.per_cycle_active,0.27,
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",smsp__average_warp_latency_per_inst_issued.ratio,55.202422,cycle
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",derived__local_spilling_requests,,
rank8,"void <unnamed>::p32_rank8_project_kernel<8>(const float *, const __half *, __half *, int, int)","(256, 1, 1)","(1, 8192, 1)",derived__shared_spilling_requests,,
